A1A,A2A,A3A,A4A,A4B,A3B,A2B,A1B,B1A,B2A,B3A,B4A,B4B,B3B,B2B,B1B,timestamp
6.776868742583633e-08,8.37513252323275e-07,2.3369957758591915e-06,5.774925075609951e-06,1.3666645854426295e-06,4.120702617381711e-06,2.2161149171173497e-06,6.631831276875685e-08,3.125741118894404e-08,3.6758747027143937e-06,4.628226765891665e-06,4.0179403364823614e-06,2.137889145485079e-06,8.84365057487777e-06,6.48490214606848e-06,1.5910335260357837e-07,825505.0418144823
3.607690193352634e-07,7.903986059100364e-07,1.984320570420991e-06,1.1794340876989104e-06,6.755668740629418e-07,2.5671241078824396e-06,3.5926251417909105e-07,5.454689160195807e-07,3.796420725497637e-08,1.8346573714620997e-06,2.517713952825896e-06,2.1684167402989616e-06,1.9048679397277453e-06,3.273556419990915e-06,1.543085403469996e-06,2.832568838670768e-07,825509.774295297
1.1616915753639326e-07,3.666876104240144e-06,1.668592683706462e-06,1.341441731330818e-06,6.166426901566418e-07,5.239842701869942e-07,5.458285149865626e-07,4.868963401028244e-07,9.25487709544598e-09,1.1066967298338874e-06,1.565484195734405e-06,2.7971783742398787e-06,1.9311869777448316e-06,2.0330485810556253e-06,3.6475866826685125e-07,1.9431171429489486e-07,825514.5118630116
5.1033758085105074e-08,2.7130253844482484e-06,1.1647084351070053e-06,3.5593033351373456e-07,1.0689986588086137e-06,1.0658258306278487e-06,3.0995811155960834e-07,1.5640569741646754e-07,1.3637191481292541e-08,2.856549234561784e-07,1.4720539665994452e-06,2.3454920713677215e-06,1.5250238578760634e-06,8.634830666965577e-07,3.480015925574618e-07,1.0463766463034168e-07,825519.2380240262
1.2094491562011071e-07,1.976450595017444e-06,2.6733260010252578e-06,5.002476630941798e-06,3.458687208964212e-06,2.045892674514014e-06,1.4704967383682833e-06,6.453111066055456e-07,2.6048855091698107e-08,1.0645449206402564e-06,1.4669023844632335e-06,2.5592246297236832e-06,1.993444783096617e-06,2.746715281811917e-06,1.3128298182826455e-06,1.3134425684913856e-07,825523.9517478407
2.3521179804227472e-08,2.7413617460632264e-06,2.9506527996299473e-06,1.585764833970599e-06,3.6840583260345774e-06,1.1540096304319642e-06,6.361730773713563e-07,3.272926339371257e-07,2.1200766980204358e-08,1.2393444926438956e-06,7.222822716286378e-07,3.137731805383521e-06,1.2953449542855928e-06,1.3044150303510677e-06,7.193355336585667e-07,1.5235982987127202e-07,825528.6884510553
3.65101043111313e-08,1.9974384869114843e-06,1.9921481538057588e-06,5.193862469856823e-06,1.5599085274441335e-06,4.990209821734599e-06,2.2600259199948394e-06,7.041033281738812e-07,1.7772032357437844e-08,4.4396769483933814e-06,5.321996865997456e-06,3.1135099483027203e-06,5.123328014595114e-06,8.512454749054796e-06,4.788560825089714e-06,2.5007196559337273e-07,825533.41784247
8.857839736635637e-09,1.6728221996225561e-06,1.6653006911119147e-06,3.5729699508322314e-06,1.5303163469851846e-06,3.5433216084642317e-06,3.7051720599307605e-06,1.4748666624725538e-07,3.6222279873666096e-08,1.842517079449808e-06,3.919957333958169e-06,3.7499542748165157e-06,2.2570901969330373e-06,5.4308428002616535e-06,1.5692865039871216e-06,2.62123503214175e-07,825538.1380233845
1.2992351252945575e-07,2.5534503975888918e-06,5.942522850207426e-07,9.937090872395093e-07,3.575803072388708e-06,6.263407066960769e-07,2.3424838450959372e-07,2.811022950715013e-07,2.6722679374546376e-08,4.843991567374692e-07,8.922702402063279e-07,6.121271695002846e-07,6.168912348384692e-07,3.1776384780153e-06,5.972536132462699e-07,2.1335890326417882e-07,825542.860167699
8.350730543334241e-07,3.5683690948150747e-06,3.398153604762016e-06,8.790324812688164e-07,9.523540510155483e-07,1.0660194784674827e-06,7.429509885315977e-07,3.821131960206939e-07,6.450253034548862e-09,4.0983329036062166e-07,7.370511916762855e-07,1.5717704107137213e-06,9.993557295410098e-07,2.9512927263639e-06,4.905227365324013e-07,3.4766082772700887e-07,825547.6068146137
8.706884867412367e-08,8.191324869299997e-07,6.406697358394792e-07,9.983733710392239e-07,1.873159193676314e-06,1.9526233778938936e-07,3.354864682599192e-07,3.886650419973592e-07,2.4437785219688197e-08,2.8664481134181084e-07,8.03887959805998e-07,1.1043030204875667e-06,2.5748258482689872e-06,9.987776962499449e-07,8.114893518440552e-07,3.0644005254346646e-07,825552.3278465283
1.143361093126352e-07,2.90757811854601e-06,2.451162693073606e-06,8.031453561063037e-07,3.315356385400463e-06,1.1274061863788524e-06,1.2713919991939512e-06,8.490658010422672e-07,1.5497848007657074e-08,4.1171753355840635e-07,9.241811695570366e-07,1.1521726974678389e-06,1.7461529251714777e-06,1.3750418024795915e-06,2.4395192725198236e-07,1.6596890931649464e-07,825557.0393879429
