A1A,A2A,A3A,A4A,A4B,A3B,A2B,A1B,B1A,B2A,B3A,B4A,B4B,B3B,B2B,B1B,timestamp
3.105069870027398e-08,1.4110643912376931e-06,2.9697137871393003e-06,2.459168435129375e-06,1.7238235424211117e-06,3.3284461457822508e-09,3.033387036988074e-06,1.2980312213009794e-06,3.7357498161814615e-08,7.65999168608024e-07,1.062758626499753e-06,2.381959488554747e-06,2.085078244897297e-06,6.910473759458701e-06,3.258572098909292e-06,4.112183887640127e-08,832148.4247435757
2.8023934640737304e-08,1.1986778368337192e-06,3.409635733402346e-06,5.269708291851116e-06,3.963630918208023e-06,9.903620900663962e-09,1.3022311799919185e-06,8.439440238190885e-07,5.915162692634301e-08,2.4841824008356814e-06,3.9698816162840924e-06,1.9543856370607295e-06,4.143659252830162e-06,5.371950339495411e-06,3.322678805439925e-06,4.1020593833932444e-08,832153.3115421528
3.231230731463552e-08,7.677857986164413e-07,2.0219548987118236e-06,2.4304020688141278e-06,5.085777753075113e-07,4.367021281684513e-10,2.3614608878352396e-06,4.5049211058376074e-07,6.353073438286766e-08,1.1102918037231309e-06,1.0599605591939064e-06,2.0874556793851965e-06,2.285259770340174e-06,3.0681535152643706e-06,1.7529392528041331e-06,2.3230612160914826e-08,832158.2093730299
3.3259718990243115e-08,2.4369689850812446e-06,7.65687575634314e-07,2.494890910654887e-06,1.3110666005627882e-06,2.9957544146081224e-09,3.39233896936036e-07,9.386298665414972e-07,5.871073405502193e-08,1.1839372150317754e-06,1.3521939483884396e-06,2.3450314905776715e-06,2.3270830705446557e-06,3.5856669931125934e-06,2.388774280718449e-06,3.291143245425063e-08,832163.0762261071
1.6425874352365154e-08,9.462791126672072e-07,1.133706227795604e-06,6.71722801602264e-06,1.7513466930689527e-06,2.086532131389928e-09,3.5276298127863317e-06,1.0848285806922708e-06,3.9436291094233785e-08,1.5673976934598288e-06,3.0219766912561066e-06,3.962842713956318e-06,3.45667131841136e-06,4.515124631533715e-06,1.9517667136640602e-06,2.7076748897161823e-08,832167.9490757842
5.474074666305871e-08,5.430167951554362e-07,2.7681937423472555e-06,4.953903824289755e-07,2.4129976211854445e-06,2.507113254774587e-09,9.269224452375633e-07,2.7186665485958048e-06,5.640493437407777e-08,1.2695944735973326e-06,1.0384077124530463e-06,3.9779837790802085e-06,6.886674482003021e-06,4.533512119111053e-06,2.6228519358704303e-06,3.6089463508949605e-08,832172.8146779614
2.717479573474911e-08,1.625578377621886e-06,6.828682366570803e-07,1.2963931507947879e-06,4.6199546055316404e-06,7.215892391071996e-09,2.4841415309362443e-06,7.535686502672697e-06,5.871994407035218e-08,1.0895495833763798e-06,1.7388248452428623e-06,2.957164836636868e-06,1.8310409550512992e-06,3.2340526184739903e-06,2.8757697272612695e-06,3.675817399813364e-08,832177.6932964384
6.2340012734105085e-09,6.066622440479159e-07,4.0643886500858744e-06,1.5715626255471259e-06,6.110176793183927e-07,3.591203467091e-09,1.0582181459513278e-05,8.046864185758576e-07,3.43148211217122e-08,1.4826761502709054e-06,1.7560324173403065e-06,2.03595007137311e-06,3.7594160285465197e-06,1.413127837907978e-06,1.9391930004847184e-06,2.4913821398672997e-08,832182.5805694157
4.838355909710177e-08,1.627936782022638e-06,1.3915660669817259e-06,2.6386023225114717e-06,2.876110753271067e-07,2.8257645701597566e-09,3.7214389711300785e-06,2.759980545150478e-07,1.2019724138616838e-07,1.6474360385571234e-06,1.3051633165604657e-06,2.3018269228795914e-06,2.5381152872809765e-06,2.0193873130260722e-06,3.037232918054474e-06,3.839509360005606e-08,832187.4599995927
2.318824699859504e-08,8.483329888792566e-07,4.897656648753193e-07,2.123332542652112e-06,2.0071446597997305e-06,1.6881713554036064e-09,4.057118426000545e-06,1.9888513776716843e-06,3.131871512852333e-08,7.189470794279814e-07,1.6148180648493442e-06,2.424592290465555e-06,1.980659101235743e-06,2.2104411741878343e-06,1.6401793754574639e-06,2.1475332097156345e-08,832192.3309281699
